left_eye_from_center,right_eye_from_center,time_start,time_end,left_eye_dim,right_eye_dim
"[-1.5, -1.5]","[2.5, -1.0]",8.73324179649353,8.780617475509644,"(25, 45)","(26, 45)"
"[-1.5, -1.5]","[2.5, -1.0]",8.780617475509644,8.827630043029785,"(25, 45)","(26, 45)"
"[-1.5, -0.5]","[3.5, -1.0]",8.827630043029785,8.873299598693848,"(25, 45)","(26, 45)"
"[-1.5, -0.5]","[3.5, -1.0]",8.873299598693848,8.920130252838135,"(25, 46)","(26, 46)"
"[-1.0, -1.5]","[3.0, 0.0]",8.920130252838135,8.967732191085815,"(26, 46)","(26, 46)"
"[-2.0, -1.0]","[3.0, -1.0]",8.967732191085815,9.014279127120972,"(25, 45)","(25, 46)"
"[-2.5, -1.5]","[4.0, -0.5]",9.014279127120972,9.077415943145752,"(25, 45)","(25, 46)"
"[-2.5, -1.5]","[4.0, -0.5]",9.077415943145752,9.1242196559906,"(27, 45)","(26, 45)"
"[2.5, -0.5]","[-0.5, -1.0]",9.1242196559906,9.171388864517212,"(27, 45)","(26, 45)"
"[2.5, -0.5]","[-0.5, -1.0]",9.171388864517212,9.217242002487183,"(30, 47)","(29, 46)"
"[2.5, -1.0]","[6.0, -1.5]",9.217242002487183,9.263788938522339,"(30, 47)","(29, 46)"
"[2.5, -1.0]","[6.0, -1.5]",9.263788938522339,9.311197996139526,"(31, 47)","(30, 47)"
"[2.5, -1.5]","[4.5, -1.0]",9.311197996139526,9.358089923858643,"(31, 47)","(30, 47)"
"[2.5, -1.5]","[5.5, -1.0]",9.358089923858643,9.40502119064331,"(31, 48)","(31, 47)"
"[3.0, -1.5]","[5.5, -1.5]",9.40502119064331,9.467090129852295,"(31, 48)","(31, 47)"
"[3.0, -1.5]","[5.5, -1.5]",9.467090129852295,9.514743566513062,"(30, 47)","(30, 46)"
"[3.5, 0.0]","[2.0, -1.0]",9.514743566513062,9.562323808670044,"(30, 47)","(30, 46)"
"[3.5, 0.0]","[2.0, -1.0]",9.562323808670044,9.60854983329773,"(29, 48)","(29, 46)"
"[6.0, 0.5]","[7.0, -1.5]",9.60854983329773,9.654640197753906,"(24, 44)","(25, 44)"
"[6.0, -1.0]","[-2.0, -0.5]",9.654640197753906,9.701161861419678,"(25, 45)","(26, 45)"
"[5.5, -0.5]","[-2.5, -1.0]",9.701161861419678,9.747238159179688,"(25, 45)","(26, 45)"
"[5.5, -0.5]","[-2.5, -1.0]",9.747238159179688,9.794538974761963,"(27, 46)","(28, 46)"
"[6.0, 0.5]","[-2.0, -1.0]",9.794538974761963,9.84124755859375,"(27, 46)","(28, 45)"
"[6.0, -0.5]","[-1.5, -1.0]",9.84124755859375,9.887526988983154,"(27, 46)","(28, 45)"
"[6.0, -0.5]","[-1.5, -1.0]",9.887526988983154,9.934401750564575,"(27, 46)","(28, 45)"
"[6.0, -0.5]","[-1.5, 0.0]",9.934401750564575,9.981725931167603,"(27, 46)","(28, 46)"
"[6.0, 0.5]","[-2.0, -1.0]",9.981725931167603,10.028725147247314,"(27, 46)","(28, 46)"
"[6.0, 0.5]","[-2.0, -1.0]",10.028725147247314,10.076308488845825,"(26, 45)","(27, 44)"
"[5.5, 0.0]","[-1.0, -0.5]",10.076308488845825,10.123117923736572,"(24, 44)","(24, 44)"
"[-3.0, -1.0]","[0.0, -1.0]",10.123117923736572,10.170208215713501,"(24, 44)","(24, 44)"
"[-3.0, -1.0]","[0.0, -1.0]",10.170208215713501,10.217255353927612,"(24, 45)","(24, 45)"
"[-2.5, -1.0]","[3.5, -1.0]",10.217255353927612,10.263136863708496,"(24, 45)","(24, 45)"
"[-2.5, -1.0]","[3.5, -1.0]",10.263136863708496,10.325953006744385,"(25, 46)","(25, 45)"
"[-3.0, -1.5]","[3.5, -0.5]",10.325953006744385,10.372125148773193,"(25, 46)","(25, 45)"
"[-2.0, -1.5]","[2.5, -0.5]",10.372125148773193,10.418737173080444,"(25, 46)","(25, 45)"
"[-2.0, -1.5]","[2.5, -0.5]",10.418737173080444,10.464869022369385,"(25, 46)","(25, 46)"
"[-2.0, -1.5]","[3.0, -0.5]",10.464869022369385,10.512431144714355,"(25, 46)","(25, 46)"
"[-2.0, -1.5]","[3.0, -0.5]",10.512431144714355,10.559139490127563,"(25, 46)","(25, 45)"
"[-2.0, -1.5]","[3.5, -0.5]",10.559139490127563,10.606021165847778,"(23, 44)","(24, 45)"
"[-4.0, -0.5]","[0.5, -1.0]",10.606021165847778,10.651539325714111,"(27, 45)","(27, 45)"
"[-6.5, -0.5]","[-3.5, -0.5]",10.651539325714111,10.698644876480103,"(27, 45)","(27, 45)"
"[-6.5, -0.5]","[-3.5, -0.5]",10.698644876480103,10.74422812461853,"(28, 45)","(29, 46)"
"[-6.5, 0.0]","[-4.0, -0.5]",10.74422812461853,10.79178237915039,"(28, 45)","(29, 46)"
"[-6.5, 0.0]","[-4.0, -0.5]",10.79178237915039,10.839051485061646,"(29, 45)","(30, 47)"
"[-6.5, -0.5]","[-4.5, 0.0]",10.839051485061646,10.886253356933594,"(29, 46)","(30, 46)"
"[-7.0, -0.5]","[-5.0, 0.0]",10.886253356933594,10.932356357574463,"(29, 46)","(30, 46)"
"[-7.0, -0.5]","[-5.0, 0.0]",10.932356357574463,10.979922533035278,"(29, 47)","(30, 47)"
"[-5.5, -0.5]","[-0.5, -1.0]",10.979922533035278,11.026557922363281,"(29, 46)","(30, 47)"
"[0.0, -0.5]","[3.5, -1.0]",11.026557922363281,11.074135780334473,"(28, 46)","(29, 47)"
"[1.0, -1.0]","[4.5, -0.5]",11.074135780334473,11.122297286987305,"(28, 46)","(29, 47)"
"[1.0, -1.0]","[4.5, -0.5]",11.122297286987305,11.18374490737915,"(28, 46)","(28, 46)"
"[0.0, -1.0]","[4.0, -1.0]",11.18374490737915,11.231032371520996,"(28, 46)","(28, 46)"
"[0.0, -1.0]","[4.0, -1.0]",11.231032371520996,11.278175830841064,"(26, 45)","(27, 46)"
"[-1.5, -1.0]","[4.0, -0.5]",11.278175830841064,11.325980424880981,"(26, 46)","(26, 46)"
"[-2.0, -1.0]","[4.0, -1.0]",11.325980424880981,11.372202157974243,"(25, 45)","(25, 45)"
"[-1.5, -1.5]","[1.5, -0.5]",11.372202157974243,11.418848276138306,"(25, 45)","(25, 45)"
"[-1.5, -1.5]","[1.5, -0.5]",11.418848276138306,11.465269565582275,"(24, 44)","(24, 45)"
"[-3.0, -1.0]","[-0.5, -1.0]",11.465269565582275,11.511841535568237,"(24, 44)","(24, 45)"
"[-3.0, -1.0]","[-0.5, -1.0]",11.511841535568237,11.55898141860962,"(29, 46)","(29, 46)"
"[2.0, -1.5]","[1.0, -1.5]",11.55898141860962,11.604996681213379,"(30, 46)","(30, 47)"
"[1.0, -2.0]","[2.5, -1.0]",11.604996681213379,11.66721224784851,"(30, 46)","(30, 47)"
"[1.0, -2.0]","[2.5, -1.0]",11.66721224784851,11.713596105575562,"(31, 47)","(31, 46)"
"[-0.5, -2.5]","[3.0, -1.5]",11.713596105575562,11.760725259780884,"(30, 46)","(31, 46)"
"[-3.0, -3.0]","[1.0, -2.5]",11.760725259780884,11.807801485061646,"(30, 46)","(31, 46)"
"[-3.0, -3.0]","[1.0, -2.5]",11.807801485061646,11.854961156845093,"(30, 47)","(31, 47)"
"[-3.5, -3.0]","[0.5, -1.5]",11.854961156845093,11.916633605957031,"(30, 47)","(31, 47)"
"[-3.5, -3.0]","[0.5, -1.5]",11.916633605957031,11.96319580078125,"(30, 47)","(31, 46)"
"[-0.5, -2.0]","[3.0, -1.5]",11.96319580078125,12.009783029556274,"(28, 45)","(28, 45)"
"[2.5, -1.0]","[0.5, -1.0]",12.009783029556274,12.057354927062988,"(28, 45)","(28, 45)"
"[2.5, -1.0]","[0.5, -1.0]",12.057354927062988,12.104196548461914,"(25, 43)","(25, 43)"
"[1.5, -0.5]","[-2.5, -0.5]",12.104196548461914,12.150864362716675,"(26, 45)","(25, 45)"
"[5.5, -1.0]","[-1.5, -0.5]",12.150864362716675,12.197349309921265,"(26, 45)","(25, 45)"
"[5.5, -1.0]","[-1.5, -0.5]",12.197349309921265,12.243413209915161,"(28, 46)","(29, 46)"
"[6.0, 0.0]","[-2.0, -0.5]",12.243413209915161,12.289234638214111,"(28, 45)","(29, 46)"
"[5.5, 0.0]","[-1.0, -0.5]",12.289234638214111,12.352051734924316,"(28, 45)","(29, 46)"
"[5.5, 0.0]","[-1.0, -0.5]",12.352051734924316,12.415177345275879,"(28, 46)","(30, 45)"
"[6.0, -1.0]","[-1.5, -1.0]",12.415177345275879,12.461674690246582,"(27, 46)","(28, 46)"
"[5.0, -0.5]","[1.0, 0.0]",12.461674690246582,12.508541584014893,"(27, 46)","(28, 46)"
"[5.0, -0.5]","[1.0, 0.0]",12.508541584014893,12.554774522781372,"(26, 46)","(26, 45)"
"[-4.0, -1.0]","[2.5, -1.0]",12.554774522781372,12.602339506149292,"(25, 45)","(25, 44)"
"[-5.5, -0.5]","[1.0, -1.5]",12.602339506149292,12.649185419082642,"(25, 45)","(25, 45)"
"[-6.5, -0.5]","[-3.5, -1.5]",12.649185419082642,12.697349309921265,"(25, 45)","(25, 45)"
"[-6.5, -0.5]","[-3.5, -1.5]",12.697349309921265,12.744029998779297,"(27, 46)","(28, 46)"
"[-7.0, -0.5]","[-5.0, 0.0]",12.744029998779297,12.790156364440918,"(27, 46)","(28, 46)"
"[-7.0, -0.5]","[-5.0, 0.0]",12.790156364440918,12.83756399154663,"(28, 45)","(30, 46)"
"[-7.5, -1.0]","[-4.0, -1.0]",12.83756399154663,12.884615898132324,"(30, 46)","(31, 47)"
"[-7.0, -1.0]","[-3.5, -1.5]",12.884615898132324,12.93168592453003,"(29, 45)","(31, 46)"
"[-6.5, -1.5]","[-4.0, -1.5]",12.93168592453003,12.995347261428833,"(29, 45)","(31, 46)"
"[-6.5, -1.5]","[-4.0, -1.5]",12.995347261428833,13.041010856628418,"(30, 46)","(31, 47)"
"[-7.0, -1.0]","[-3.5, -1.5]",13.041010856628418,13.087332963943481,"(30, 46)","(31, 47)"
"[-7.0, -1.0]","[-3.5, -1.5]",13.087332963943481,13.134479284286499,"(27, 45)","(28, 46)"
"[-6.5, -0.5]","[-4.0, 0.0]",13.134479284286499,13.181581258773804,"(24, 44)","(24, 44)"
"[-3.0, -1.0]","[0.0, -1.0]",13.181581258773804,13.228281497955322,"(24, 44)","(24, 44)"
"[-3.0, -1.0]","[0.0, -1.0]",13.228281497955322,13.274407386779785,"(24, 44)","(23, 45)"
"[-4.0, -1.0]","[0.5, -0.5]",13.274407386779785,13.321606397628784,"(24, 45)","(22, 45)"
"[-3.5, -1.0]","[0.5, -1.0]",13.321606397628784,13.368429183959961,"(24, 45)","(22, 45)"
