left_eye_from_center,right_eye_from_center,start_time,end_time,left_eye_dim,right_eye_dim,left_eye_x,right_eye_x,duration,slide
"[-7.0, -2.0]","[7.5, 0.0]",2.7,2.7333333333333334,"(38, 86)","(39, 91)",-7.0,7.5,0.033333333333333215,0
"[-6.0, -2.0]","[7.5, -0.5]",2.7333333333333334,2.7666666666666666,"(38, 88)","(40, 91)",-6.0,7.5,0.033333333333333215,0
"[-5.0, -2.0]","[5.5, -1.0]",2.7666666666666666,2.8,"(33, 87)","(37, 93)",-5.0,5.5,0.033333333333333215,0
"[-6.5, -1.5]","[6.5, -0.5]",2.8,2.8333333333333335,"(31, 86)","(35, 86)",-6.5,6.5,0.03333333333333366,0
"[-8.0, -1.5]","[10.0, -0.5]",2.8333333333333335,2.8666666666666667,"(34, 88)","(37, 86)",-8.0,10.0,0.033333333333333215,0
"[-7.0, -2.0]","[8.0, -0.5]",2.8666666666666667,2.9,"(36, 90)","(38, 89)",-7.0,8.0,0.033333333333333215,0
"[-8.0, -1.0]","[3.5, -1.0]",2.9,2.933333333333333,"(36, 89)","(37, 84)",-8.0,3.5,0.033333333333333215,0
"[-11.5, -2.0]","[3.0, -0.5]",2.933333333333333,2.966666666666667,"(36, 89)","(38, 87)",-11.5,3.0,0.03333333333333366,0
"[-10.5, -1.0]","[6.5, -1.0]",2.966666666666667,3.0,"(36, 87)","(38, 92)",-10.5,6.5,0.033333333333333215,0
"[-9.5, -1.0]","[3.0, -1.0]",3.0,3.033333333333333,"(39, 85)","(38, 91)",-9.5,3.0,0.033333333333333215,0
"[-8.5, -0.5]","[3.5, -2.0]",3.033333333333333,3.0666666666666664,"(38, 82)","(37, 88)",-8.5,3.5,0.033333333333333215,0
"[-7.0, -1.0]","[6.0, -1.5]",3.0666666666666664,3.1,"(39, 83)","(38, 89)",-7.0,6.0,0.03333333333333366,0
"[-7.5, -0.5]","[5.5, -1.0]",3.1,3.1333333333333333,"(39, 87)","(38, 92)",-7.5,5.5,0.033333333333333215,0
"[-7.5, -1.5]","[6.0, -2.0]",3.1333333333333333,3.1666666666666665,"(37, 86)","(36, 91)",-7.5,6.0,0.033333333333333215,0
"[-8.0, -0.5]","[3.5, -1.0]",3.1666666666666665,3.2,"(37, 86)","(36, 90)",-8.0,3.5,0.03333333333333366,0
"[-8.0, -0.5]","[5.0, -1.0]",3.2,3.2333333333333334,"(38, 87)","(37, 91)",-8.0,5.0,0.033333333333333215,0
"[-7.5, -1.0]","[4.5, -0.5]",3.2333333333333334,3.2666666666666666,"(37, 90)","(36, 92)",-7.5,4.5,0.033333333333333215,0
"[-7.0, -0.5]","[5.0, -1.0]",3.2666666666666666,3.3,"(37, 90)","(37, 92)",-7.0,5.0,0.033333333333333215,0
"[-8.0, -0.5]","[5.0, -1.5]",3.3,3.3333333333333335,"(37, 90)","(38, 90)",-8.0,5.0,0.03333333333333366,0
"[-7.0, -1.5]","[7.0, -1.0]",3.3333333333333335,3.3666666666666667,"(36, 91)","(38, 92)",-7.0,7.0,0.033333333333333215,0
"[-8.5, -1.0]","[5.0, -1.0]",3.3666666666666667,3.4,"(36, 90)","(38, 89)",-8.5,5.0,0.033333333333333215,0
"[-7.0, -1.0]","[7.5, -1.0]",3.4,3.433333333333333,"(37, 90)","(39, 90)",-7.0,7.5,0.033333333333333215,0
"[-7.0, -1.5]","[9.0, -0.5]",3.433333333333333,3.466666666666667,"(37, 90)","(39, 88)",-7.0,9.0,0.03333333333333366,0
"[-7.0, -1.5]","[8.0, -0.5]",3.466666666666667,3.5,"(36, 90)","(39, 89)",-7.0,8.0,0.033333333333333215,0
"[-8.0, -1.0]","[7.5, -0.5]",3.5,3.533333333333333,"(36, 91)","(41, 90)",-8.0,7.5,0.033333333333333215,0
"[-6.5, -1.0]","[8.0, -0.5]",3.533333333333333,3.5666666666666664,"(38, 89)","(42, 87)",-6.5,8.0,0.033333333333333215,0
"[-6.5, -1.0]","[6.5, -1.0]",3.5666666666666664,3.6,"(37, 88)","(40, 87)",-6.5,6.5,0.03333333333333366,0
"[-6.0, -1.5]","[8.5, 0.0]",3.6,3.6333333333333337,"(37, 90)","(39, 87)",-6.0,8.5,0.03333333333333366,0
"[-4.0, -1.5]","[10.5, -0.5]",3.6333333333333337,3.6666666666666665,"(36, 88)","(38, 90)",-4.0,10.5,0.03333333333333277,0
"[-3.0, -2.0]","[11.0, -1.0]",3.6666666666666665,3.7,"(37, 88)","(37, 91)",-3.0,11.0,0.03333333333333366,0
"[-1.0, -0.5]","[11.5, -0.5]",3.7,3.7333333333333334,"(38, 88)","(39, 90)",-1.0,11.5,0.033333333333333215,0
"[-10.0, -1.0]","[3.0, -1.5]",3.7333333333333334,3.7666666666666666,"(38, 88)","(39, 90)",-10.0,3.0,0.033333333333333215,0
"[-10.0, -1.0]","[3.0, -1.5]",3.7666666666666666,3.8,"(38, 89)","(38, 92)",-10.0,3.0,0.033333333333333215,0
"[-8.5, -1.0]","[4.0, -1.0]",3.8,3.8333333333333335,"(38, 88)","(38, 89)",-8.5,4.0,0.03333333333333366,0
"[-9.0, -1.0]","[3.5, -1.0]",3.8333333333333335,3.8666666666666663,"(38, 88)","(38, 91)",-9.0,3.5,0.03333333333333277,0
"[-9.0, -1.0]","[2.5, -1.0]",3.8666666666666663,3.9,"(38, 86)","(37, 90)",-9.0,2.5,0.03333333333333366,0
"[-9.0, -1.0]","[3.0, -0.5]",3.9,3.933333333333333,"(38, 87)","(39, 91)",-9.0,3.0,0.033333333333333215,0
"[-8.5, -1.0]","[3.5, -0.5]",3.933333333333333,3.966666666666667,"(38, 87)","(38, 91)",-8.5,3.5,0.03333333333333366,0
"[-8.5, -1.0]","[4.5, -1.0]",3.966666666666667,4.0,"(38, 86)","(37, 89)",-8.5,4.5,0.033333333333333215,0
"[-8.0, -1.0]","[4.5, -1.5]",4.0,4.033333333333333,"(38, 87)","(37, 91)",-8.0,4.5,0.033333333333333215,0
"[-5.5, -1.0]","[7.5, -1.5]",4.033333333333333,4.066666666666666,"(39, 88)","(36, 91)",-5.5,7.5,0.033333333333333215,0
"[-5.0, -1.5]","[7.5, -1.0]",4.066666666666666,4.1,"(38, 87)","(37, 90)",-5.0,7.5,0.033333333333333215,0
"[-7.5, -1.0]","[7.0, -1.5]",4.1,4.133333333333333,"(37, 86)","(37, 91)",-7.5,7.0,0.033333333333333215,0
"[-8.0, -0.5]","[4.5, -1.5]",4.133333333333333,4.166666666666667,"(39, 87)","(38, 90)",-8.0,4.5,0.0333333333333341,0
"[-7.5, -0.5]","[5.0, -1.0]",4.166666666666667,4.2,"(38, 88)","(38, 93)",-7.5,5.0,0.033333333333333215,0
"[-8.0, -1.0]","[5.5, -1.0]",4.2,4.233333333333333,"(38, 89)","(39, 91)",-8.0,5.5,0.033333333333333215,0
"[-8.5, -1.0]","[4.5, -1.5]",4.233333333333333,4.266666666666667,"(37, 89)","(38, 93)",-8.5,4.5,0.033333333333333215,0
